seed,epoch,trainError,testError
1,1,0.00403016,0.00300153
1,2,0.00369075,0.00304704
1,3,0.00337241,0.00287189
1,4,0.00315456,0.00273048
1,5,0.00301525,0.00263696
1,6,0.00292377,0.00257605
1,7,0.00285927,0.00253418
1,8,0.00281007,0.00250275
1,9,0.00276974,0.00247682
1,10,0.00273427,0.00245335
1,11,0.00270098,0.00243031
1,12,0.00266809,0.00240635
1,13,0.00263449,0.00238061
1,14,0.00259956,0.0023526
1,15,0.00256303,0.00232211
1,16,0.00252492,0.00228919
1,17,0.00248546,0.00225409
1,18,0.00244511,0.00221728
1,19,0.00240447,0.00217943
1,20,0.0023643,0.00214138
1,21,0.00232541,0.00210405
1,22,0.00228863,0.00206838
1,23,0.00225465,0.00203522
1,24,0.002224,0.00200521
1,25,0.00219699,0.00197876
1,26,0.00217368,0.00195604
1,27,0.00215395,0.00193697
1,28,0.0021375,0.00192132
1,29,0.00212397,0.00190872
1,30,0.00211293,0.00189877
1,31,0.00210399,0.00189106
1,32,0.00209678,0.00188519
1,33,0.00209095,0.00188082
1,34,0.00208625,0.00187766
1,35,0.00208244,0.00187545
1,36,0.00207934,0.00187401
1,37,0.00207683,0.00187316
1,38,0.00207477,0.0018728
1,39,0.0020731,0.00187281
1,40,0.00207174,0.00187314
1,41,0.00207066,0.00187371
1,42,0.0020698,0.00187449
1,43,0.00206914,0.00187545
1,44,0.00206867,0.00187656
1,45,0.00206836,0.00187781
1,46,0.00206821,0.0018792
1,47,0.00206821,0.0018807
1,48,0.00206835,0.00188233
1,49,0.00206863,0.00188407
1,50,0.00206905,0.00188594
1,51,0.0020696,0.00188792
1,52,0.00207029,0.00189003
1,53,0.00207112,0.00189227
1,54,0.00207208,0.00189463
1,55,0.00207318,0.00189712
1,56,0.00207441,0.00189974
1,57,0.00207577,0.0019025
1,58,0.00207727,0.00190539
1,59,0.00207889,0.00190841
1,60,0.00208064,0.00191156
1,61,0.00208252,0.00191483
1,62,0.00208451,0.00191823
1,63,0.00208661,0.00192175
1,64,0.00208882,0.00192538
1,65,0.00209113,0.00192911
1,66,0.00209353,0.00193294
1,67,0.00209602,0.00193685
1,68,0.00209857,0.00194085
1,69,0.0021012,0.0019449
1,70,0.00210388,0.00194901
1,71,0.00210661,0.00195317
1,72,0.00210938,0.00195735
1,73,0.00211217,0.00196156
1,74,0.00211499,0.00196578
1,75,0.00211782,0.00196999
1,76,0.00212066,0.0019742
1,77,0.0021235,0.00197839
1,78,0.00212633,0.00198255
1,79,0.00212915,0.00198669
1,80,0.00213196,0.00199078

2,1,0.00574286,0.00357323
2,2,0.0042255,0.00317151
2,3,0.00363547,0.00294704
2,4,0.00324072,0.00270749
2,5,0.00298126,0.002528
2,6,0.00280161,0.00239387
2,7,0.00266738,0.0022875
2,8,0.00255891,0.00219772
2,9,0.00246579,0.00211847
2,10,0.00238327,0.00204709
2,11,0.00231041,0.00198331
2,12,0.00224775,0.00192787
2,13,0.00219597,0.00188169
2,14,0.00215515,0.00184525
2,15,0.00212408,0.00181781
2,16,0.00210074,0.00179768
2,17,0.00208308,0.00178309
2,18,0.00206949,0.00177252
2,19,0.00205876,0.00176486
2,20,0.00205006,0.00175927
2,21,0.00204279,0.00175519
2,22,0.00203654,0.0017522
2,23,0.00203105,0.00175003
2,24,0.00202612,0.0017485
2,25,0.00202165,0.00174751
2,26,0.00201758,0.00174701
2,27,0.00201392,0.00174705
2,28,0.00201067,0.00174763
2,29,0.00200782,0.00174871
2,30,0.00200521,0.00175006
2,31,0.00200261,0.00175129
2,32,0.00199981,0.00175207
2,33,0.00199684,0.00175238
2,34,0.00199387,0.0017524
2,35,0.00199111,0.00175239
2,36,0.00198869,0.00175252
2,37,0.00198666,0.00175286
2,38,0.00198504,0.00175345
2,39,0.00198381,0.00175431
2,40,0.00198295,0.00175542
2,41,0.00198244,0.00175677
2,42,0.00198226,0.00175835
2,43,0.00198239,0.00176014
2,44,0.00198281,0.00176215
2,45,0.00198351,0.00176436
2,46,0.00198447,0.00176676
2,47,0.00198568,0.00176936
2,48,0.00198713,0.00177215
2,49,0.00198882,0.00177512
2,50,0.00199072,0.00177828
2,51,0.00199285,0.00178163
2,52,0.00199517,0.00178517
2,53,0.00199769,0.00178889
2,54,0.00200039,0.00179278
2,55,0.00200325,0.00179682
2,56,0.00200625,0.00180102
2,57,0.00200936,0.00180533
2,58,0.00201256,0.00180973
2,59,0.00201582,0.0018142
2,60,0.0020191,0.00181869
2,61,0.00202237,0.00182318
2,62,0.0020256,0.00182763
2,63,0.00202876,0.00183201
2,64,0.00203183,0.00183629
2,65,0.00203479,0.00184045
2,66,0.00203762,0.00184447
2,67,0.00204032,0.00184835
2,68,0.00204288,0.00185207
2,69,0.00204529,0.00185564

3,1,0.00508836,0.0032461
3,2,0.00410468,0.00305381
3,3,0.00360724,0.00285846
3,4,0.00324484,0.00263464
3,5,0.00298046,0.00244938
3,6,0.00278878,0.00230911
3,7,0.00264723,0.00220442
3,8,0.00253922,0.00212498
3,9,0.00245436,0.00206356
3,10,0.00238678,0.00201587
3,11,0.00233303,0.00197934
3,12,0.00229047,0.00195196
3,13,0.00225681,0.00193188
3,14,0.00223007,0.00191742
3,15,0.00220871,0.00190714
3,16,0.00219175,0.00189999
3,17,0.00217874,0.00189545
3,18,0.0021696,0.00189352
3,19,0.00216416,0.00189423
3,20,0.00216181,0.00189724
3,21,0.00216173,0.00190193
3,22,0.00216306,0.00190758
3,23,0.00216514,0.00191362
3,24,0.00216753,0.00191965
3,25,0.00216995,0.00192543
3,26,0.00217224,0.00193084
3,27,0.00217434,0.00193582
3,28,0.00217622,0.00194035
3,29,0.00217785,0.00194446
3,30,0.00217927,0.00194816
3,31,0.00218046,0.00195148
3,32,0.00218146,0.00195444
3,33,0.00218226,0.00195708
3,34,0.0021829,0.00195943
3,35,0.00218338,0.0019615
3,36,0.00218372,0.00196332
3,37,0.00218392,0.00196492
3,38,0.002184,0.00196632
3,39,0.00218398,0.00196753
3,40,0.00218386,0.00196857
3,41,0.00218365,0.00196946
3,42,0.00218336,0.00197022
3,43,0.002183,0.00197087
3,44,0.00218259,0.00197141
3,45,0.00218212,0.00197186
3,46,0.00218162,0.00197223
3,47,0.00218107,0.00197253
3,48,0.0021805,0.00197278
3,49,0.00217991,0.00197299
3,50,0.0021793,0.00197315
3,51,0.00217867,0.00197328
3,52,0.00217804,0.00197338
3,53,0.00217741,0.00197347
3,54,0.00217677,0.00197354
3,55,0.00217614,0.0019736
3,56,0.00217551,0.00197366
3,57,0.00217489,0.00197371
3,58,0.00217427,0.00197376
3,59,0.00217367,0.00197381
3,60,0.00217308,0.00197387
3,61,0.0021725,0.00197393
3,62,0.00217193,0.001974
3,63,0.00217138,0.00197407
3,64,0.00217084,0.00197416
