seed,epoch,trainError,testError
1,1,0.056396,0.05303
1,2,0.056395,0.0530289
1,3,0.0563935,0.0530275
1,4,0.0563915,0.0530254
1,5,0.0563885,0.0530224
1,6,0.0563836,0.0530174
1,7,0.056374,0.0530078
1,8,0.0563475,0.052981
1,9,0.0559282,0.0525585
1,10,0.0310377,0.0282217
1,11,0.0308524,0.028017
1,12,0.0307298,0.0278872
1,13,0.030641,0.0277915
1,14,0.0305795,0.0277231
1,15,0.0305393,0.0276759
1,16,0.0305157,0.0276456
1,17,0.0305048,0.0276287
1,18,0.0305032,0.027622
1,19,0.0305079,0.0276222
1,20,0.0305159,0.0276265
1,21,0.0305245,0.027632
1,22,0.0305316,0.0276364
1,23,0.0305356,0.0276381
1,24,0.0305355,0.0276358
1,25,0.0305306,0.0276291
1,26,0.0305207,0.0276177
1,27,0.0305062,0.027602
1,28,0.0304874,0.0275822
1,29,0.0304651,0.0275592
1,30,0.0304401,0.0275338
1,31,0.0304132,0.0275068
1,32,0.0303854,0.027479
1,33,0.0303575,0.0274514
1,34,0.0303302,0.0274246
1,35,0.0303041,0.0273992
1,36,0.0302798,0.0273758
1,37,0.0302576,0.0273547
1,38,0.0302378,0.0273361
1,39,0.0302206,0.0273203
1,40,0.030206,0.0273071
1,41,0.030194,0.0272967
1,42,0.0301846,0.0272889
1,43,0.0301775,0.0272835
1,44,0.0301726,0.0272804
1,45,0.0301697,0.0272792
1,46,0.0301685,0.0272798
1,47,0.030169,0.027282
1,48,0.0301707,0.0272854
1,49,0.0301735,0.0272899
1,50,0.0301773,0.0272952
1,51,0.0301817,0.0273011
1,52,0.0301867,0.0273074
1,53,0.0301921,0.027314
1,54,0.0301976,0.0273207
1,55,0.0302033,0.0273274
1,56,0.0302089,0.0273339
1,57,0.0302145,0.0273401
1,58,0.0302198,0.027346
1,59,0.0302249,0.0273515
1,60,0.0302297,0.0273564
1,61,0.0302341,0.0273608
1,62,0.0302381,0.0273645
1,63,0.0302416,0.0273676
1,64,0.0302447,0.0273701
1,65,0.0302474,0.0273718
1,66,0.0302496,0.0273729
1,67,0.0302513,0.0273733
1,68,0.0302526,0.0273731
1,69,0.0302535,0.0273722
1,70,0.030254,0.0273708
1,71,0.0302541,0.0273688
1,72,0.0302539,0.0273664
1,73,0.0302534,0.0273635
1,74,0.0302526,0.0273604
1,75,0.0302515,0.0273569
1,76,0.0302503,0.0273533
1,77,0.0302489,0.0273494
1,78,0.0302473,0.0273455
1,79,0.0302455,0.0273415
1,80,0.0302436,0.0273375
1,81,0.0302416,0.0273334
1,82,0.0302395,0.0273294
1,83,0.0302373,0.0273254
1,84,0.030235,0.0273215
1,85,0.0302326,0.0273177
1,86,0.0302302,0.0273139
1,87,0.0302277,0.0273101
1,88,0.0302252,0.0273065
1,89,0.0302226,0.027303
1,90,0.03022,0.0272995
1,91,0.0302174,0.0272961

2,1,0.0315777,0.0286673
2,2,0.0313167,0.0284117
2,3,0.0310951,0.0281948
2,4,0.0309148,0.0280185
2,5,0.0307737,0.0278804
2,6,0.0306675,0.0277765
2,7,0.030591,0.0277018
2,8,0.0305388,0.0276511
2,9,0.0305059,0.0276192
2,10,0.0304875,0.0276016
2,11,0.0304794,0.0275939
2,12,0.0304781,0.0275927
2,13,0.0304806,0.027595
2,14,0.0304842,0.027598
2,15,0.0304867,0.0275999
2,16,0.0304866,0.0275992
2,17,0.0304826,0.0275947
2,18,0.0304741,0.0275859
2,19,0.0304611,0.0275729
2,20,0.0304439,0.027556
2,21,0.0304231,0.0275357
2,22,0.0303996,0.027513
2,23,0.0303743,0.0274886
2,24,0.030348,0.0274635
2,25,0.0303217,0.0274384
2,26,0.030296,0.0274141
2,27,0.0302715,0.0273911
2,28,0.0302488,0.0273698
2,29,0.0302281,0.0273506
2,30,0.0302096,0.0273336
2,31,0.0301935,0.0273188
2,32,0.0301797,0.0273065
2,33,0.0301683,0.0272963
2,34,0.0301591,0.0272883
2,35,0.0301519,0.0272823
2,36,0.0301467,0.0272781
2,37,0.0301432,0.0272755
2,38,0.0301412,0.0272744
2,39,0.0301406,0.0272745
2,40,0.0301412,0.0272756
2,41,0.0301428,0.0272776
2,42,0.0301452,0.0272803
2,43,0.0301483,0.0272835
2,44,0.0301518,0.027287
2,45,0.0301558,0.0272908
2,46,0.03016,0.0272947
2,47,0.0301644,0.0272985
2,48,0.0301689,0.0273023
2,49,0.0301733,0.0273058
2,50,0.0301776,0.027309
2,51,0.0301818,0.0273119
2,52,0.0301857,0.0273143
2,53,0.0301894,0.0273163
2,54,0.0301928,0.0273179
2,55,0.0301959,0.0273189
2,56,0.0301987,0.0273194
2,57,0.0302012,0.0273194
2,58,0.0302034,0.0273189
2,59,0.0302052,0.027318
2,60,0.0302067,0.0273167
2,61,0.030208,0.027315
2,62,0.030209,0.027313
2,63,0.0302098,0.0273108
2,64,0.0302103,0.0273083
2,65,0.0302107,0.0273056
2,66,0.0302109,0.0273028
2,67,0.0302108,0.0272999
2,68,0.0302106,0.0272969
2,69,0.0302103,0.027294
2,70,0.0302098,0.0272909
2,71,0.0302092,0.0272879
2,72,0.0302084,0.027285
2,73,0.0302075,0.027282
2,74,0.0302065,0.0272791
2,75,0.0302053,0.0272762
2,76,0.030204,0.0272733
2,77,0.0302027,0.0272705
2,78,0.0302012,0.0272678
2,79,0.0301996,0.0272651
2,80,0.030198,0.0272624
2,81,0.0301963,0.0272598
2,82,0.0301944,0.0272573
2,83,0.0301926,0.0272548

3,1,0.0563833,0.0530173
3,2,0.0563735,0.0530076
3,3,0.0563462,0.0529804
3,4,0.0558975,0.052532
3,5,0.0310885,0.0282316
3,6,0.0309817,0.0281242
3,7,0.0308615,0.0280004
3,8,0.0307591,0.0278945
3,9,0.0306757,0.0278075
3,10,0.0306111,0.027739
3,11,0.0305639,0.027688
3,12,0.030532,0.0276525
3,13,0.0305126,0.0276299
3,14,0.030503,0.0276174
3,15,0.0305002,0.0276122
3,16,0.030502,0.0276118
3,17,0.0305061,0.027614
3,18,0.0305108,0.0276169
3,19,0.0305144,0.027619
3,20,0.0305157,0.0276191
3,21,0.0305139,0.0276162
3,22,0.0305084,0.0276099
3,23,0.0304988,0.0275999
3,24,0.0304854,0.0275861
3,25,0.0304682,0.0275689
3,26,0.0304479,0.0275487
3,27,0.030425,0.0275259
3,28,0.0304,0.0275012
3,29,0.0303737,0.0274752
3,30,0.0303467,0.0274485
3,31,0.0303196,0.0274216
3,32,0.0302929,0.027395
3,33,0.0302669,0.0273692
3,34,0.0302422,0.0273443
3,35,0.0302189,0.0273207
3,36,0.0301973,0.0272985
3,37,0.0301773,0.0272779
3,38,0.0301592,0.0272588
3,39,0.0301428,0.0272412
3,40,0.0301281,0.0272251
3,41,0.0301151,0.0272106
3,42,0.0301037,0.0271974
3,43,0.0300938,0.0271855
3,44,0.0300852,0.027175
3,45,0.0300779,0.0271656
3,46,0.0300718,0.0271573
3,47,0.0300667,0.02715
3,48,0.0300626,0.0271437
3,49,0.0300593,0.0271384
3,50,0.0300568,0.0271338
3,51,0.0300549,0.02713
3,52,0.0300537,0.0271269
3,53,0.0300531,0.0271245
3,54,0.0300528,0.0271226
3,55,0.030053,0.0271213
3,56,0.0300536,0.0271204
3,57,0.0300544,0.0271199
3,58,0.0300555,0.0271198
3,59,0.0300568,0.02712
3,60,0.0300583,0.0271205
3,61,0.0300599,0.0271213
3,62,0.0300616,0.0271223
3,63,0.0300633,0.0271234
3,64,0.0300652,0.0271248
3,65,0.030067,0.0271262
3,66,0.0300689,0.0271278
3,67,0.0300707,0.0271295
3,68,0.0300725,0.0271312
3,69,0.0300743,0.027133
3,70,0.030076,0.0271348
3,71,0.0300777,0.0271367
3,72,0.0300793,0.0271385
3,73,0.0300809,0.0271404
3,74,0.0300823,0.0271423
3,75,0.0300837,0.0271442
3,76,0.030085,0.027146
3,77,0.0300862,0.0271478
3,78,0.0300874,0.0271496
3,79,0.0300884,0.0271514
3,80,0.0300893,0.0271531
3,81,0.0300902,0.0271548
3,82,0.030091,0.0271564
3,83,0.0300917,0.027158
3,84,0.0300923,0.0271596
3,85,0.0300928,0.0271611
3,86,0.0300932,0.0271625
3,87,0.0300936,0.0271639
3,88,0.0300938,0.0271653
3,89,0.030094,0.0271666
3,90,0.0300942,0.0271679
3,91,0.0300942,0.0271691
3,92,0.0300942,0.0271703

4,1,0.0322931,0.029353
4,2,0.0320427,0.0290987
4,3,0.0317418,0.028803
4,4,0.0314618,0.0285308
4,5,0.0312202,0.0282972
4,6,0.0310213,0.0281054
4,7,0.0308643,0.0279545
4,8,0.0307456,0.0278408
4,9,0.0306601,0.027759
4,10,0.0306019,0.0277035
4,11,0.0305651,0.0276685
4,12,0.0305444,0.0276488
4,13,0.0305352,0.0276398
4,14,0.0305334,0.0276377
4,15,0.0305355,0.0276393
4,16,0.0305389,0.027642
4,17,0.0305413,0.0276436
4,18,0.030541,0.0276428
4,19,0.0305371,0.0276385
4,20,0.030529,0.0276303
4,21,0.0305166,0.0276181
4,22,0.0305003,0.0276022
4,23,0.0304807,0.0275832
4,24,0.0304583,0.0275616
4,25,0.030434,0.0275383
4,26,0.0304085,0.0275139
4,27,0.0303826,0.0274891
4,28,0.0303568,0.0274646
4,29,0.0303318,0.0274408
4,30,0.0303079,0.0274183
4,31,0.0302857,0.0273974
4,32,0.0302653,0.0273783
4,33,0.0302471,0.0273614
4,34,0.030231,0.0273466
4,35,0.0302173,0.0273341
4,36,0.0302057,0.0273238
4,37,0.0301965,0.0273157
4,38,0.0301893,0.0273097
4,39,0.0301842,0.0273056
4,40,0.030181,0.0273034
4,41,0.0301795,0.0273029
4,42,0.0301795,0.0273039
4,43,0.030181,0.0273062
4,44,0.0301836,0.0273097
4,45,0.0301874,0.0273142
4,46,0.030192,0.0273195
4,47,0.0301974,0.0273255
4,48,0.0302035,0.0273321
4,49,0.03021,0.0273391
4,50,0.0302168,0.0273464
4,51,0.030224,0.027354
4,52,0.0302313,0.0273616
4,53,0.0302387,0.0273693
4,54,0.0302461,0.027377
4,55,0.0302534,0.0273846
4,56,0.0302606,0.027392
4,57,0.0302677,0.0273993
4,58,0.0302746,0.0274063
4,59,0.0302813,0.027413
4,60,0.0302878,0.0274195
4,61,0.0302939,0.0274258
4,62,0.0302998,0.0274317
4,63,0.0303055,0.0274373
4,64,0.0303108,0.0274426
4,65,0.0303158,0.0274476
4,66,0.0303206,0.0274522
4,67,0.0303251,0.0274566
4,68,0.0303292,0.0274607
4,69,0.0303331,0.0274645
4,70,0.0303367,0.027468
4,71,0.0303401,0.0274712
4,72,0.0303432,0.0274741
4,73,0.030346,0.0274768
4,74,0.0303486,0.0274793
4,75,0.030351,0.0274815
4,76,0.0303532,0.0274835
4,77,0.0303551,0.0274852
4,78,0.0303568,0.0274868
4,79,0.0303584,0.0274882
4,80,0.0303598,0.0274894
4,81,0.030361,0.0274904
4,82,0.030362,0.0274913
4,83,0.0303629,0.027492
4,84,0.0303637,0.0274926
4,85,0.0303643,0.027493
4,86,0.0303648,0.0274933

5,1,0.0562894,0.0529228
5,2,0.0329528,0.0299662
5,3,0.0321207,0.0291475
5,4,0.031821,0.0288532
5,5,0.0315594,0.0285973
5,6,0.0313365,0.0283798
5,7,0.0311515,0.0281999
5,8,0.0310027,0.0280557
5,9,0.0308873,0.0279448
5,10,0.0308017,0.0278633
5,11,0.0307414,0.0278068
5,12,0.0307014,0.0277703
5,13,0.0306769,0.027749
5,14,0.0306637,0.0277386
5,15,0.030658,0.0277352
5,16,0.0306564,0.0277356
5,17,0.0306564,0.0277372
5,18,0.0306558,0.0277381
5,19,0.030653,0.0277366
5,20,0.0306469,0.0277319
5,21,0.030637,0.0277233
5,22,0.030623,0.0277107
5,23,0.0306051,0.0276941
5,24,0.0305836,0.0276741
5,25,0.0305591,0.027651
5,26,0.030532,0.0276254
5,27,0.0305032,0.0275981
5,28,0.0304732,0.0275697
5,29,0.0304427,0.0275407
5,30,0.0304122,0.0275119
5,31,0.0303824,0.0274836
5,32,0.0303536,0.0274564
5,33,0.0303262,0.0274306
5,34,0.0303007,0.0274065
5,35,0.030277,0.0273844
5,36,0.0302556,0.0273644
5,37,0.0302363,0.0273466
5,38,0.0302194,0.0273309
5,39,0.0302046,0.0273175
5,40,0.0301921,0.0273061
5,41,0.0301816,0.0272967
5,42,0.030173,0.0272891
5,43,0.0301663,0.0272831
5,44,0.0301611,0.0272786
5,45,0.0301573,0.0272754
5,46,0.0301548,0.0272732
5,47,0.0301533,0.0272718
5,48,0.0301527,0.0272711
5,49,0.0301527,0.0272709
5,50,0.0301533,0.0272709
5,51,0.0301543,0.0272711
5,52,0.0301555,0.0272712
5,53,0.0301568,0.0272711
5,54,0.0301581,0.0272708
5,55,0.0301594,0.0272702
5,56,0.0301606,0.0272691
5,57,0.0301616,0.0272677
5,58,0.0301625,0.0272659
5,59,0.0301632,0.0272637
5,60,0.0301638,0.0272612
5,61,0.0301642,0.0272584
5,62,0.0301645,0.0272554
5,63,0.0301647,0.0272523
5,64,0.0301647,0.0272492
5,65,0.0301647,0.027246
5,66,0.0301647,0.0272429
5,67,0.0301645,0.0272398
5,68,0.0301643,0.0272368
5,69,0.0301641,0.0272339
5,70,0.0301638,0.0272312
5,71,0.0301634,0.0272286
5,72,0.0301629,0.0272261
5,73,0.0301624,0.0272237
5,74,0.0301619,0.0272215
5,75,0.0301612,0.0272194
5,76,0.0301606,0.0272173
5,77,0.0301598,0.0272154
5,78,0.030159,0.0272136
5,79,0.0301581,0.0272119
5,80,0.0301572,0.0272103
5,81,0.0301562,0.0272088
5,82,0.0301552,0.0272073
5,83,0.0301541,0.027206
5,84,0.030153,0.0272047
5,85,0.0301518,0.0272035
5,86,0.0301506,0.0272023
5,87,0.0301494,0.0272013
5,88,0.0301481,0.0272003
5,89,0.0301467,0.0271993
5,90,0.0301454,0.0271984
5,91,0.030144,0.0271976

