seed,epoch,trainError,testError
1,1,0.0514955,0.0640421
1,2,0.0487013,0.0608977
1,3,0.0443186,0.0559019
1,4,0.0402436,0.0511626
1,5,0.0370473,0.0473476
1,6,0.0348043,0.0445886
1,7,0.033359,0.0427549
1,8,0.0324854,0.0416171
1,9,0.0319753,0.0409421
1,10,0.0316598,0.0405218
1,11,0.0314017,0.040171
1,12,0.0310958,0.0397359
1,13,0.0306946,0.0391305
1,14,0.0302353,0.0383723
1,15,0.0298322,0.0375787
1,16,0.0296232,0.036911
1,17,0.0296989,0.0364961
1,18,0.0300592,0.0363733
1,19,0.0306252,0.036496
1,20,0.0312887,0.0367745
1,21,0.0319576,0.0371223
1,22,0.0325737,0.0374777
1,23,0.0331097,0.0378052
1,24,0.0335592,0.0380889
1,25,0.0339276,0.038325
1,26,0.0342259,0.0385164
1,27,0.0344663,0.0386691
1,28,0.03466,0.0387901
1,29,0.0348166,0.0388856
1,30,0.0349439,0.038961
1,31,0.0350479,0.0390207
1,32,0.0351333,0.0390681
1,33,0.0352038,0.039106
1,34,0.0352623,0.0391364
1,35,0.0353111,0.0391607
1,36,0.0353519,0.0391804
1,37,0.0353862,0.0391962
1,38,0.0354151,0.039209
1,39,0.0354395,0.0392193
1,40,0.0354602,0.0392276
1,41,0.0354777,0.0392342
1,42,0.0354926,0.0392395
1,43,0.0355052,0.0392437
1,44,0.035516,0.039247
1,45,0.0355251,0.0392494
1,46,0.0355328,0.0392513
1,47,0.0355393,0.0392526
1,48,0.0355449,0.0392535
1,49,0.0355495,0.039254
1,50,0.0355534,0.0392542
1,51,0.0355566,0.0392541
1,52,0.0355593,0.0392538
1,53,0.0355614,0.0392534
1,54,0.0355632,0.0392528
1,55,0.0355645,0.039252
1,56,0.0355656,0.0392512
1,57,0.0355663,0.0392503
1,58,0.0355668,0.0392494
1,59,0.0355671,0.0392484
1,60,0.0355672,0.0392473
1,61,0.0355671,0.0392463
1,62,0.0355669,0.0392452
1,63,0.0355666,0.0392441
1,64,0.0355661,0.039243
1,65,0.0355656,0.0392419
1,66,0.035565,0.0392408

2,1,0.0704529,0.0848711
2,2,0.0651329,0.0791706
2,3,0.0604382,0.074028
2,4,0.0560966,0.0692089
2,5,0.0521095,0.0647325
2,6,0.0485419,0.0606798
2,7,0.0454338,0.057104
2,8,0.042787,0.0540166
2,9,0.040573,0.0513957
2,10,0.0387456,0.0491985
2,11,0.0372524,0.0473735
2,12,0.0360411,0.0458678
2,13,0.0350634,0.0446315
2,14,0.0342769,0.0436199
2,15,0.0336454,0.0427946
2,16,0.0331395,0.0421241
2,17,0.0327356,0.0415828
2,18,0.0324147,0.0411498
2,19,0.0321608,0.0408069
2,20,0.0319595,0.0405365
2,21,0.0317976,0.040321
2,22,0.0316623,0.0401427
2,23,0.0315414,0.0399844
2,24,0.0314236,0.0398288
2,25,0.0312972,0.0396586
2,26,0.0311513,0.039456
2,27,0.030976,0.0392045
2,28,0.0307663,0.0388919
2,29,0.0305259,0.0385164
2,30,0.0302705,0.0380918
2,31,0.0300268,0.0376466
2,32,0.0298257,0.0372179
2,33,0.0296929,0.03684
2,34,0.0296442,0.0365366
2,35,0.0296851,0.0363189
2,36,0.0298152,0.03619
2,37,0.0300325,0.0361493
2,38,0.0303349,0.0361957
2,39,0.0307176,0.0363273
2,40,0.0311692,0.0365378
2,41,0.0316667,0.0368115
2,42,0.0321763,0.0371224
2,43,0.032663,0.0374395
2,44,0.033102,0.0377369
2,45,0.0334838,0.0380007
2,46,0.0338104,0.0382282
2,47,0.0340897,0.0384231
2,48,0.0343299,0.0385913
2,49,0.0345374,0.038738
2,50,0.0347158,0.0388666
2,51,0.0348658,0.038978
2,52,0.0349856,0.0390708
2,53,0.0350719,0.0391419
2,54,0.0351211,0.0391872
2,55,0.0351306,0.039203
2,56,0.0351006,0.0391871
2,57,0.0350345,0.0391407
2,58,0.0349402,0.0390691
2,59,0.0348286,0.0389812
2,60,0.0347114,0.0388871
2,61,0.0345974,0.0387952
2,62,0.034492,0.0387104
2,63,0.0343973,0.0386347
2,64,0.0343134,0.0385684
2,65,0.0342392,0.0385105
2,66,0.0341735,0.0384599
2,67,0.0341151,0.0384154
2,68,0.0340629,0.038376
2,69,0.0340159,0.0383409
2,70,0.0339733,0.0383093
2,71,0.0339345,0.0382808
2,72,0.0338989,0.0382548
2,73,0.0338661,0.0382311
2,74,0.0338358,0.0382093
2,75,0.0338077,0.0381891
