seed,epoch,trainError,testError
1,1,0.42751,0.42751
1,2,0.253506,0.253506
1,3,0.319039,0.319039
1,4,0.192281,0.192281
1,5,0.162439,0.162439
1,6,0.150219,0.150219
1,7,0.10541,0.10541
1,8,0.0832024,0.0832024
1,9,0.0703112,0.0703112
1,10,0.0559005,0.0559005
1,11,0.045331,0.045331
1,12,0.0390273,0.0390273
1,13,0.0325092,0.0325092
1,14,0.0281428,0.0281428
1,15,0.0248732,0.0248732
1,16,0.0220443,0.0220443
1,17,0.0196747,0.0196747
1,18,0.0178406,0.0178406
1,19,0.0162922,0.0162922
1,20,0.0150208,0.0150208
1,21,0.0138641,0.0138641
1,22,0.0128854,0.0128854
1,23,0.0120417,0.0120417
1,24,0.0112998,0.0112998
1,25,0.0106464,0.0106464
1,26,0.010056,0.010056
1,27,0.0095229,0.0095229
1,28,0.00904357,0.00904357
1,29,0.00860906,0.00860906
1,30,0.00821295,0.00821295
1,31,0.00785007,0.00785007
1,32,0.00751558,0.00751558
1,33,0.00720636,0.00720636
1,34,0.00692013,0.00692013
1,35,0.00665457,0.00665457
1,36,0.00640749,0.00640749
1,37,0.00617698,0.00617698
1,38,0.00596137,0.00596137
1,39,0.00575923,0.00575923
1,40,0.00556936,0.00556936
1,41,0.00539073,0.00539073
1,42,0.00522242,0.00522242
1,43,0.00506358,0.00506358
1,44,0.00491344,0.00491344
1,45,0.00477132,0.00477132
1,46,0.0046366,0.0046366
1,47,0.00450872,0.00450872
1,48,0.00438718,0.00438718
1,49,0.00427155,0.00427155
1,50,0.00416141,0.00416141
1,51,0.00405639,0.00405639
1,52,0.00395616,0.00395616
1,53,0.0038604,0.0038604
1,54,0.00376882,0.00376882
1,55,0.00368116,0.00368116
1,56,0.00359719,0.00359719
1,57,0.00351668,0.00351668
1,58,0.00343943,0.00343943
1,59,0.00336525,0.00336525
1,60,0.00329396,0.00329396
1,61,0.00322541,0.00322541
1,62,0.00315944,0.00315944
1,63,0.00309591,0.00309591
1,64,0.0030347,0.0030347
1,65,0.00297569,0.00297569
1,66,0.00291875,0.00291875
1,67,0.0028638,0.0028638
1,68,0.00281072,0.00281072
1,69,0.00275942,0.00275942
1,70,0.00270983,0.00270983
1,71,0.00266185,0.00266185
1,72,0.00261542,0.00261542
1,73,0.00257046,0.00257046
1,74,0.00252691,0.00252691
1,75,0.0024847,0.0024847
1,76,0.00244377,0.00244377
1,77,0.00240407,0.00240407
1,78,0.00236555,0.00236555
1,79,0.00232814,0.00232814
1,80,0.00229182,0.00229182
1,81,0.00225653,0.00225653
1,82,0.00222223,0.00222223
1,83,0.00218888,0.00218888
1,84,0.00215644,0.00215644
1,85,0.00212488,0.00212488
1,86,0.00209416,0.00209416
1,87,0.00206425,0.00206425
1,88,0.00203513,0.00203513
1,89,0.00200675,0.00200675
1,90,0.0019791,0.0019791
1,91,0.00195214,0.00195214
1,92,0.00192585,0.00192585
1,93,0.00190022,0.00190022
1,94,0.0018752,0.0018752
1,95,0.00185079,0.00185079
1,96,0.00182696,0.00182696
1,97,0.00180369,0.00180369
1,98,0.00178096,0.00178096
1,99,0.00175876,0.00175876
1,100,0.00173707,0.00173707
1,101,0.00171586,0.00171586
1,102,0.00169513,0.00169513
1,103,0.00167486,0.00167486
1,104,0.00165503,0.00165503
1,105,0.00163563,0.00163563
1,106,0.00161665,0.00161665
1,107,0.00159808,0.00159808
1,108,0.00157989,0.00157989
1,109,0.00156209,0.00156209
1,110,0.00154465,0.00154465
1,111,0.00152757,0.00152757
1,112,0.00151084,0.00151084
1,113,0.00149445,0.00149445
1,114,0.00147838,0.00147838
1,115,0.00146263,0.00146263
1,116,0.00144719,0.00144719
1,117,0.00143204,0.00143204
1,118,0.00141719,0.00141719
1,119,0.00140262,0.00140262
1,120,0.00138833,0.00138833
1,121,0.0013743,0.0013743
1,122,0.00136054,0.00136054
1,123,0.00134703,0.00134703
1,124,0.00133377,0.00133377
1,125,0.00132074,0.00132074
1,126,0.00130795,0.00130795
1,127,0.00129539,0.00129539
1,128,0.00128306,0.00128306
1,129,0.00127093,0.00127093
1,130,0.00125902,0.00125902
1,131,0.00124732,0.00124732
1,132,0.00123581,0.00123581
1,133,0.0012245,0.0012245
1,134,0.00121339,0.00121339
1,135,0.00120245,0.00120245
1,136,0.0011917,0.0011917
1,137,0.00118113,0.00118113
1,138,0.00117073,0.00117073
1,139,0.0011605,0.0011605
1,140,0.00115043,0.00115043
1,141,0.00114053,0.00114053
1,142,0.00113078,0.00113078
1,143,0.00112119,0.00112119
1,144,0.00111175,0.00111175
1,145,0.00110245,0.00110245
1,146,0.0010933,0.0010933
1,147,0.00108429,0.00108429
1,148,0.00107541,0.00107541
1,149,0.00106667,0.00106667
1,150,0.00105806,0.00105806
1,151,0.00104958,0.00104958
1,152,0.00104123,0.00104123
1,153,0.001033,0.001033
1,154,0.00102489,0.00102489
1,155,0.00101689,0.00101689
1,156,0.00100902,0.00100902
1,157,0.00100125,0.00100125
1,158,0.000993597,0.000993597
1,159,0.000986051,0.000986051
1,160,0.000978611,0.000978611
1,161,0.000971275,0.000971275
1,162,0.000964042,0.000964042
1,163,0.000956907,0.000956907
1,164,0.000949871,0.000949871
1,165,0.000942931,0.000942931
1,166,0.000936085,0.000936085
1,167,0.00092933,0.00092933
1,168,0.000922666,0.000922666
1,169,0.000916091,0.000916091
1,170,0.000909603,0.000909603
1,171,0.0009032,0.0009032
1,172,0.00089688,0.00089688
1,173,0.000890643,0.000890643
1,174,0.000884486,0.000884486
1,175,0.000878408,0.000878408
1,176,0.000872408,0.000872408
1,177,0.000866483,0.000866483
1,178,0.000860634,0.000860634
1,179,0.000854857,0.000854857
1,180,0.000849153,0.000849153
1,181,0.00084352,0.00084352
1,182,0.000837955,0.000837955
1,183,0.000832459,0.000832459
1,184,0.00082703,0.00082703
1,185,0.000821667,0.000821667
1,186,0.000816369,0.000816369
1,187,0.000811134,0.000811134
1,188,0.000805961,0.000805961
1,189,0.00080085,0.00080085
1,190,0.000795799,0.000795799

2,1,0.294096,0.294096
2,2,0.298827,0.298827
2,3,0.243617,0.243617
2,4,0.199665,0.199665
2,5,0.141841,0.141841
2,6,0.106046,0.106046
