**********
SEED 1
**********
Iteration 1	 Training error: 0.0304545
Iteration 2	 Training error: 0.0304268
Iteration 3	 Training error: 0.0304069
Iteration 4	 Training error: 0.0303936
Iteration 5	 Training error: 0.0303869
Iteration 6	 Training error: 0.0303835
Iteration 7	 Training error: 0.0303801
Iteration 8	 Training error: 0.0303752
Iteration 9	 Training error: 0.0303689
Iteration 10	 Training error: 0.0303618
Iteration 11	 Training error: 0.0303545
Iteration 12	 Training error: 0.0303474
Iteration 13	 Training error: 0.0303406
Iteration 14	 Training error: 0.0303344
Iteration 15	 Training error: 0.0303286
Iteration 16	 Training error: 0.0303233
Iteration 17	 Training error: 0.0303185
Iteration 18	 Training error: 0.0303142
Iteration 19	 Training error: 0.0303103
Iteration 20	 Training error: 0.0303067
Iteration 21	 Training error: 0.0303035
Iteration 22	 Training error: 0.0303006
Iteration 23	 Training error: 0.030298
Iteration 24	 Training error: 0.0302956
Iteration 25	 Training error: 0.0302935
Iteration 26	 Training error: 0.0302915
Iteration 27	 Training error: 0.0302897
Iteration 28	 Training error: 0.0302881
Iteration 29	 Training error: 0.0302866
Iteration 30	 Training error: 0.0302852
Iteration 31	 Training error: 0.0302839
Iteration 32	 Training error: 0.0302828
Iteration 33	 Training error: 0.0302817
Iteration 34	 Training error: 0.0302806
Iteration 35	 Training error: 0.0302797
Iteration 36	 Training error: 0.0302788
Iteration 37	 Training error: 0.030278
Iteration 38	 Training error: 0.0302772
Iteration 39	 Training error: 0.0302764
Iteration 40	 Training error: 0.0302757
Iteration 41	 Training error: 0.0302751
Iteration 42	 Training error: 0.0302744
Iteration 43	 Training error: 0.0302738
Iteration 44	 Training error: 0.0302733
Iteration 45	 Training error: 0.0302727
Iteration 46	 Training error: 0.0302722
Iteration 47	 Training error: 0.0302717
Iteration 48	 Training error: 0.0302712
Iteration 49	 Training error: 0.0302707
Iteration 50	 Training error: 0.0302702
Iteration 51	 Training error: 0.0302698
Iteration 52	 Training error: 0.0302693
Iteration 53	 Training error: 0.0302689
We exit because the training is not improving!!
Iteration 1001	 Training error: 0.0302685
NETWORK WEIGHTS
===============
Layer 1 weights:
 Neuron 0: -0.930875 0.856567 0.692383 -0.143752 
 Neuron 1: -0.64985 0.819279 -1.30066 0.388225 

Layer 2 weights:
 Neuron 0: -1.47283 0.346296 -0.714386 

Desired output Vs Obtained output (test)
=========================================
0.0909091 -- 0.166757 
0.0909091 -- 0.175807 
0.272727 -- 0.165571 
0.0909091 -- 0.178724 
0.272727 -- 0.184392 
0 -- 0.181767 
0.363636 -- 0.178251 
0 -- 0.161052 
0.272727 -- 0.182212 
0.0909091 -- 0.18342 
0.181818 -- 0.182503 
0 -- 0.156115 
0.636364 -- 0.167803 
0 -- 0.162326 
0.272727 -- 0.165053 
0 -- 0.159064 
0.363636 -- 0.180547 
0.0909091 -- 0.164811 
0.0909091 -- 0.160759 
0.272727 -- 0.184754 
0 -- 0.16255 
0 -- 0.167836 
0.636364 -- 0.167821 
0.363636 -- 0.161608 
0.454545 -- 0.163526 
0.272727 -- 0.163219 
0.0909091 -- 0.158928 
0.0909091 -- 0.181177 
0.272727 -- 0.177827 
0.0909091 -- 0.143836 
0 -- 0.19212 
0.181818 -- 0.153304 
0.363636 -- 0.174423 
0.181818 -- 0.17027 
0.181818 -- 0.154477 
0 -- 0.145682 
0 -- 0.180236 
0 -- 0.160346 
0.272727 -- 0.16091 
0 -- 0.169844 
0.0909091 -- 0.16499 
0.0909091 -- 0.163505 
0.272727 -- 0.156679 
0.363636 -- 0.157114 
0.272727 -- 0.150318 
0.0909091 -- 0.167256 
0.0909091 -- 0.15717 
0.0909091 -- 0.160959 
0.0909091 -- 0.16881 
0.0909091 -- 0.180288 
0.0909091 -- 0.164257 
0.818182 -- 0.190586 
0.545455 -- 0.180224 
0 -- 0.172923 
0.272727 -- 0.168059 
0.272727 -- 0.173784 
0 -- 0.162371 
0.0909091 -- 0.167423 
0.363636 -- 0.174623 
0.0909091 -- 0.161841 
0.272727 -- 0.170828 
0.363636 -- 0.147024 
0.181818 -- 0.162942 
0.454545 -- 0.180661 
0.181818 -- 0.192091 
0.0909091 -- 0.15882 
0.272727 -- 0.157793 
0.181818 -- 0.160061 
0 -- 0.160725 
0.0909091 -- 0.161439 
0.181818 -- 0.171796 
0.272727 -- 0.146131 
0.0909091 -- 0.185101 
0 -- 0.179732 
0.0909091 -- 0.178642 
0 -- 0.157813 
0 -- 0.165924 
0 -- 0.156861 
0 -- 0.177348 
0 -- 0.160481 
0.0909091 -- 0.180469 
0.272727 -- 0.146658 
0 -- 0.159152 
0.363636 -- 0.192772 
0.0909091 -- 0.18195 
0.0909091 -- 0.169727 
0.545455 -- 0.169749 
0.181818 -- 0.181763 
0.0909091 -- 0.167123 
0.272727 -- 0.179384 
0.0909091 -- 0.179936 
0.363636 -- 0.156965 
0 -- 0.169967 
0 -- 0.174817 
0 -- 0.184747 
0.0909091 -- 0.143521 
0 -- 0.166279 
0.181818 -- 0.161581 
0 -- 0.178187 
0.0909091 -- 0.184788 
0.363636 -- 0.166878 
0.181818 -- 0.15541 
0 -- 0.179268 
0 -- 0.178342 
0 -- 0.166087 
0.272727 -- 0.180501 
0.0909091 -- 0.158425 
0.0909091 -- 0.151898 
0.0909091 -- 0.160054 
0.363636 -- 0.184775 
0.363636 -- 0.14746 
0 -- 0.166828 
0.272727 -- 0.157653 
0 -- 0.144997 
0.454545 -- 0.173536 
0.272727 -- 0.167934 
0.272727 -- 0.158351 
0 -- 0.170169 
0 -- 0.191997 
0.545455 -- 0.179417 
0.454545 -- 0.181343 
0.181818 -- 0.166694 
0.0909091 -- 0.166166 
0 -- 0.170779 
0 -- 0.165515 
0.454545 -- 0.161508 
0.0909091 -- 0.16168 
0 -- 0.161223 
0.0909091 -- 0.179192 
0.636364 -- 0.192 
0.0909091 -- 0.16462 
0 -- 0.165952 
0 -- 0.164805 
0 -- 0.146042 
