**********
SEED 1
**********
Iteration 1	 Training error: 0.0304446
Iteration 2	 Training error: 0.0304391
Iteration 3	 Training error: 0.0304336
Iteration 4	 Training error: 0.0304284
Iteration 5	 Training error: 0.0304234
Iteration 6	 Training error: 0.0304188
Iteration 7	 Training error: 0.0304145
Iteration 8	 Training error: 0.0304106
Iteration 9	 Training error: 0.0304072
Iteration 10	 Training error: 0.030404
Iteration 11	 Training error: 0.0304012
Iteration 12	 Training error: 0.0303987
Iteration 13	 Training error: 0.0303964
Iteration 14	 Training error: 0.0303943
Iteration 15	 Training error: 0.0303924
Iteration 16	 Training error: 0.0303906
Iteration 17	 Training error: 0.030389
Iteration 18	 Training error: 0.0303874
Iteration 19	 Training error: 0.030386
Iteration 20	 Training error: 0.0303846
Iteration 21	 Training error: 0.0303832
Iteration 22	 Training error: 0.0303819
Iteration 23	 Training error: 0.0303806
Iteration 24	 Training error: 0.0303792
Iteration 25	 Training error: 0.0303779
Iteration 26	 Training error: 0.0303766
Iteration 27	 Training error: 0.0303752
Iteration 28	 Training error: 0.0303738
Iteration 29	 Training error: 0.0303724
Iteration 30	 Training error: 0.0303709
Iteration 31	 Training error: 0.0303693
Iteration 32	 Training error: 0.0303677
Iteration 33	 Training error: 0.0303659
Iteration 34	 Training error: 0.0303641
Iteration 35	 Training error: 0.0303622
Iteration 36	 Training error: 0.0303601
Iteration 37	 Training error: 0.030358
Iteration 38	 Training error: 0.0303557
Iteration 39	 Training error: 0.0303532
Iteration 40	 Training error: 0.0303505
Iteration 41	 Training error: 0.0303477
Iteration 42	 Training error: 0.0303447
Iteration 43	 Training error: 0.0303415
Iteration 44	 Training error: 0.0303382
Iteration 45	 Training error: 0.0303346
Iteration 46	 Training error: 0.0303308
Iteration 47	 Training error: 0.0303269
Iteration 48	 Training error: 0.0303229
Iteration 49	 Training error: 0.0303188
We exit because the training is not improving!!
Iteration 1001	 Training error: 0.0303147
NETWORK WEIGHTS
===============
Layer 1 weights:
 Neuron 0: 0.383729 -0.354886 1.49069 -0.214671 
 Neuron 1: 0.891749 -0.78244 -0.105462 0.419708 

Layer 2 weights:
 Neuron 0: -1.20536 -0.483926 -0.65763 
 Neuron 1: -0.373161 -1.60733 -0.26655 

Layer 3 weights:
 Neuron 0: -1.39061 -0.164319 -1.11861 

Desired output Vs Obtained output (test)
=========================================
0.0909091 -- 0.164486 
0.0909091 -- 0.171284 
0.272727 -- 0.167834 
0.0909091 -- 0.17274 
0.272727 -- 0.174628 
0 -- 0.173995 
0.363636 -- 0.173244 
0 -- 0.166195 
0.272727 -- 0.174658 
0.0909091 -- 0.174205 
0.181818 -- 0.174266 
0 -- 0.15915 
0.636364 -- 0.165007 
0 -- 0.166343 
0.272727 -- 0.163846 
0 -- 0.16563 
0.363636 -- 0.174095 
0.0909091 -- 0.167576 
0.0909091 -- 0.166255 
0.272727 -- 0.17516 
0 -- 0.1669 
0 -- 0.168964 
0.636364 -- 0.168665 
0.363636 -- 0.166547 
0.454545 -- 0.164419 
0.272727 -- 0.166699 
0.0909091 -- 0.165394 
0.0909091 -- 0.172174 
0.272727 -- 0.172299 
0.0909091 -- 0.156116 
0 -- 0.176058 
0.181818 -- 0.163406 
0.363636 -- 0.171539 
0.181818 -- 0.167592 
0.181818 -- 0.158658 
0 -- 0.156829 
0 -- 0.173956 
0 -- 0.166078 
0.272727 -- 0.166366 
0 -- 0.170035 
0.0909091 -- 0.167767 
0.0909091 -- 0.166789 
0.272727 -- 0.16431 
0.363636 -- 0.164692 
0.272727 -- 0.162131 
0.0909091 -- 0.168522 
0.0909091 -- 0.164823 
0.0909091 -- 0.166246 
0.0909091 -- 0.169332 
0.0909091 -- 0.173996 
0.0909091 -- 0.164985 
0.818182 -- 0.176748 
0.545455 -- 0.174027 
0 -- 0.171277 
0.272727 -- 0.165067 
0.272727 -- 0.171365 
0 -- 0.166382 
0.0909091 -- 0.164842 
0.363636 -- 0.17172 
