**********
SEED 1
**********
Iteration 1	 Training error: 0.282523
Iteration 2	 Training error: 0.261094
Iteration 3	 Training error: 0.247115
Iteration 4	 Training error: 0.244553
Iteration 5	 Training error: 0.246505
Iteration 6	 Training error: 0.246656
Iteration 7	 Training error: 0.24435
Iteration 8	 Training error: 0.241709
Iteration 9	 Training error: 0.24017
Iteration 10	 Training error: 0.239518
Iteration 11	 Training error: 0.238915
Iteration 12	 Training error: 0.237955
Iteration 13	 Training error: 0.236761
Iteration 14	 Training error: 0.235577
Iteration 15	 Training error: 0.234486
Iteration 16	 Training error: 0.233427
Iteration 17	 Training error: 0.232326
Iteration 18	 Training error: 0.231165
Iteration 19	 Training error: 0.229954
Iteration 20	 Training error: 0.228699
Iteration 21	 Training error: 0.22739
Iteration 22	 Training error: 0.226012
Iteration 23	 Training error: 0.224557
Iteration 24	 Training error: 0.223025
Iteration 25	 Training error: 0.221418
Iteration 26	 Training error: 0.219734
Iteration 27	 Training error: 0.217969
Iteration 28	 Training error: 0.216119
Iteration 29	 Training error: 0.214181
Iteration 30	 Training error: 0.212151
Iteration 31	 Training error: 0.210025
Iteration 32	 Training error: 0.207802
Iteration 33	 Training error: 0.205478
Iteration 34	 Training error: 0.203052
Iteration 35	 Training error: 0.200524
Iteration 36	 Training error: 0.197893
Iteration 37	 Training error: 0.19516
Iteration 38	 Training error: 0.192326
Iteration 39	 Training error: 0.189392
Iteration 40	 Training error: 0.186361
Iteration 41	 Training error: 0.183234
Iteration 42	 Training error: 0.180017
Iteration 43	 Training error: 0.176713
Iteration 44	 Training error: 0.173327
Iteration 45	 Training error: 0.169867
Iteration 46	 Training error: 0.166338
Iteration 47	 Training error: 0.162749
Iteration 48	 Training error: 0.159107
Iteration 49	 Training error: 0.15542
Iteration 50	 Training error: 0.151698
Iteration 51	 Training error: 0.14795
Iteration 52	 Training error: 0.144185
Iteration 53	 Training error: 0.140414
Iteration 54	 Training error: 0.136644
Iteration 55	 Training error: 0.132887
Iteration 56	 Training error: 0.129151
Iteration 57	 Training error: 0.125444
Iteration 58	 Training error: 0.121777
Iteration 59	 Training error: 0.118155
Iteration 60	 Training error: 0.114588
Iteration 61	 Training error: 0.111081
Iteration 62	 Training error: 0.107641
Iteration 63	 Training error: 0.104274
Iteration 64	 Training error: 0.100983
Iteration 65	 Training error: 0.0977728
Iteration 66	 Training error: 0.0946469
Iteration 67	 Training error: 0.0916079
Iteration 68	 Training error: 0.0886575
Iteration 69	 Training error: 0.0857972
Iteration 70	 Training error: 0.0830277
Iteration 71	 Training error: 0.0803493
Iteration 72	 Training error: 0.0777617
Iteration 73	 Training error: 0.0752643
Iteration 74	 Training error: 0.072856
Iteration 75	 Training error: 0.0705354
Iteration 76	 Training error: 0.0683008
Iteration 77	 Training error: 0.0661504
Iteration 78	 Training error: 0.0640822
Iteration 79	 Training error: 0.0620937
Iteration 80	 Training error: 0.0601827
Iteration 81	 Training error: 0.0583468
Iteration 82	 Training error: 0.0565834
Iteration 83	 Training error: 0.0548899
Iteration 84	 Training error: 0.0532638
Iteration 85	 Training error: 0.0517025
Iteration 86	 Training error: 0.0502036
Iteration 87	 Training error: 0.0487645
Iteration 88	 Training error: 0.0473827
Iteration 89	 Training error: 0.0460559
Iteration 90	 Training error: 0.0447817
Iteration 91	 Training error: 0.0435579
Iteration 92	 Training error: 0.0423823
Iteration 93	 Training error: 0.0412527
Iteration 94	 Training error: 0.0401672
Iteration 95	 Training error: 0.0391237
Iteration 96	 Training error: 0.0381203
Iteration 97	 Training error: 0.0371554
Iteration 98	 Training error: 0.0362271
Iteration 99	 Training error: 0.0353338
Iteration 100	 Training error: 0.0344739
Iteration 101	 Training error: 0.0336459
Iteration 102	 Training error: 0.0328484
Iteration 103	 Training error: 0.03208
Iteration 104	 Training error: 0.0313394
Iteration 105	 Training error: 0.0306254
Iteration 106	 Training error: 0.0299368
Iteration 107	 Training error: 0.0292723
Iteration 108	 Training error: 0.0286311
Iteration 109	 Training error: 0.0280121
Iteration 110	 Training error: 0.0274142
Iteration 111	 Training error: 0.0268366
Iteration 112	 Training error: 0.0262784
Iteration 113	 Training error: 0.0257388
Iteration 114	 Training error: 0.0252169
Iteration 115	 Training error: 0.0247121
Iteration 116	 Training error: 0.0242235
Iteration 117	 Training error: 0.0237506
Iteration 118	 Training error: 0.0232927
Iteration 119	 Training error: 0.0228491
Iteration 120	 Training error: 0.0224193
Iteration 121	 Training error: 0.0220027
Iteration 122	 Training error: 0.0215987
Iteration 123	 Training error: 0.0212069
Iteration 124	 Training error: 0.0208269
Iteration 125	 Training error: 0.020458
Iteration 126	 Training error: 0.0200999
Iteration 127	 Training error: 0.0197522
Iteration 128	 Training error: 0.0194145
Iteration 129	 Training error: 0.0190863
Iteration 130	 Training error: 0.0187674
Iteration 131	 Training error: 0.0184574
Iteration 132	 Training error: 0.0181559
Iteration 133	 Training error: 0.0178626
Iteration 134	 Training error: 0.0175773
Iteration 135	 Training error: 0.0172996
Iteration 136	 Training error: 0.0170293
Iteration 137	 Training error: 0.0167661
Iteration 138	 Training error: 0.0165097
Iteration 139	 Training error: 0.01626
Iteration 140	 Training error: 0.0160166
Iteration 141	 Training error: 0.0157794
Iteration 142	 Training error: 0.0155482
Iteration 143	 Training error: 0.0153227
Iteration 144	 Training error: 0.0151027
Iteration 145	 Training error: 0.0148882
Iteration 146	 Training error: 0.0146788
Iteration 147	 Training error: 0.0144744
Iteration 148	 Training error: 0.0142749
Iteration 149	 Training error: 0.01408
Iteration 150	 Training error: 0.0138898
Iteration 151	 Training error: 0.0137039
Iteration 152	 Training error: 0.0135223
Iteration 153	 Training error: 0.0133448
Iteration 154	 Training error: 0.0131713
Iteration 155	 Training error: 0.0130017
Iteration 156	 Training error: 0.0128358
Iteration 157	 Training error: 0.0126736
Iteration 158	 Training error: 0.0125149
Iteration 159	 Training error: 0.0123596
Iteration 160	 Training error: 0.0122077
Iteration 161	 Training error: 0.012059
Iteration 162	 Training error: 0.0119134
Iteration 163	 Training error: 0.0117709
Iteration 164	 Training error: 0.0116313
Iteration 165	 Training error: 0.0114946
Iteration 166	 Training error: 0.0113606
Iteration 167	 Training error: 0.0112294
Iteration 168	 Training error: 0.0111008
Iteration 169	 Training error: 0.0109748
Iteration 170	 Training error: 0.0108512
Iteration 171	 Training error: 0.0107301
Iteration 172	 Training error: 0.0106113
Iteration 173	 Training error: 0.0104949
Iteration 174	 Training error: 0.0103806
Iteration 175	 Training error: 0.0102685
Iteration 176	 Training error: 0.0101586
Iteration 177	 Training error: 0.0100507
Iteration 178	 Training error: 0.00994478
Iteration 179	 Training error: 0.00984083
Iteration 180	 Training error: 0.00973878
Iteration 181	 Training error: 0.00963859
Iteration 182	 Training error: 0.0095402
Iteration 183	 Training error: 0.00944358
Iteration 184	 Training error: 0.00934867
Iteration 185	 Training error: 0.00925543
Iteration 186	 Training error: 0.00916383
Iteration 187	 Training error: 0.00907383
Iteration 188	 Training error: 0.00898537
Iteration 189	 Training error: 0.00889844
Iteration 190	 Training error: 0.00881298
Iteration 191	 Training error: 0.00872897
Iteration 192	 Training error: 0.00864637
Iteration 193	 Training error: 0.00856515
Iteration 194	 Training error: 0.00848528
Iteration 195	 Training error: 0.00840672
Iteration 196	 Training error: 0.00832944
Iteration 197	 Training error: 0.00825342
Iteration 198	 Training error: 0.00817862
Iteration 199	 Training error: 0.00810502
Iteration 200	 Training error: 0.0080326
Iteration 201	 Training error: 0.00796131
Iteration 202	 Training error: 0.00789115
Iteration 203	 Training error: 0.00782209
Iteration 204	 Training error: 0.00775409
Iteration 205	 Training error: 0.00768714
Iteration 206	 Training error: 0.00762122
Iteration 207	 Training error: 0.0075563
Iteration 208	 Training error: 0.00749236
Iteration 209	 Training error: 0.00742938
Iteration 210	 Training error: 0.00736734
Iteration 211	 Training error: 0.00730622
Iteration 212	 Training error: 0.00724601
Iteration 213	 Training error: 0.00718667
Iteration 214	 Training error: 0.0071282
Iteration 215	 Training error: 0.00707058
Iteration 216	 Training error: 0.00701378
Iteration 217	 Training error: 0.0069578
Iteration 218	 Training error: 0.00690261
Iteration 219	 Training error: 0.00684821
Iteration 220	 Training error: 0.00679456
Iteration 221	 Training error: 0.00674167
Iteration 222	 Training error: 0.00668951
Iteration 223	 Training error: 0.00663807
Iteration 224	 Training error: 0.00658734
Iteration 225	 Training error: 0.0065373
Iteration 226	 Training error: 0.00648794
Iteration 227	 Training error: 0.00643924
Iteration 228	 Training error: 0.0063912
Iteration 229	 Training error: 0.00634379
Iteration 230	 Training error: 0.00629702
Iteration 231	 Training error: 0.00625086
Iteration 232	 Training error: 0.00620531
Iteration 233	 Training error: 0.00616036
Iteration 234	 Training error: 0.00611598
Iteration 235	 Training error: 0.00607218
Iteration 236	 Training error: 0.00602894
Iteration 237	 Training error: 0.00598625
Iteration 238	 Training error: 0.0059441
Iteration 239	 Training error: 0.00590249
Iteration 240	 Training error: 0.0058614
Iteration 241	 Training error: 0.00582082
Iteration 242	 Training error: 0.00578074
Iteration 243	 Training error: 0.00574116
Iteration 244	 Training error: 0.00570207
Iteration 245	 Training error: 0.00566346
Iteration 246	 Training error: 0.00562531
Iteration 247	 Training error: 0.00558763
Iteration 248	 Training error: 0.0055504
Iteration 249	 Training error: 0.00551361
Iteration 250	 Training error: 0.00547727
Iteration 251	 Training error: 0.00544135
Iteration 252	 Training error: 0.00540586
Iteration 253	 Training error: 0.00537078
Iteration 254	 Training error: 0.00533612
Iteration 255	 Training error: 0.00530186
Iteration 256	 Training error: 0.00526799
Iteration 257	 Training error: 0.00523451
Iteration 258	 Training error: 0.00520142
Iteration 259	 Training error: 0.0051687
Iteration 260	 Training error: 0.00513636
Iteration 261	 Training error: 0.00510438
Iteration 262	 Training error: 0.00507275
Iteration 263	 Training error: 0.00504148
Iteration 264	 Training error: 0.00501056
Iteration 265	 Training error: 0.00497998
Iteration 266	 Training error: 0.00494974
Iteration 267	 Training error: 0.00491983
Iteration 268	 Training error: 0.00489025
Iteration 269	 Training error: 0.00486098
Iteration 270	 Training error: 0.00483204
Iteration 271	 Training error: 0.0048034
Iteration 272	 Training error: 0.00477507
Iteration 273	 Training error: 0.00474705
Iteration 274	 Training error: 0.00471932
Iteration 275	 Training error: 0.00469188
Iteration 276	 Training error: 0.00466473
Iteration 277	 Training error: 0.00463787
Iteration 278	 Training error: 0.00461128
Iteration 279	 Training error: 0.00458497
Iteration 280	 Training error: 0.00455894
Iteration 281	 Training error: 0.00453317
Iteration 282	 Training error: 0.00450766
Iteration 283	 Training error: 0.00448242
Iteration 284	 Training error: 0.00445743
Iteration 285	 Training error: 0.00443269
Iteration 286	 Training error: 0.0044082
Iteration 287	 Training error: 0.00438396
Iteration 288	 Training error: 0.00435995
Iteration 289	 Training error: 0.00433619
Iteration 290	 Training error: 0.00431266
Iteration 291	 Training error: 0.00428936
Iteration 292	 Training error: 0.00426629
Iteration 293	 Training error: 0.00424345
Iteration 294	 Training error: 0.00422083
Iteration 295	 Training error: 0.00419842
Iteration 296	 Training error: 0.00417624
Iteration 297	 Training error: 0.00415426
Iteration 298	 Training error: 0.0041325
Iteration 299	 Training error: 0.00411094
Iteration 300	 Training error: 0.00408958
Iteration 301	 Training error: 0.00406843
Iteration 302	 Training error: 0.00404748
Iteration 303	 Training error: 0.00402672
Iteration 304	 Training error: 0.00400616
Iteration 305	 Training error: 0.00398578
Iteration 306	 Training error: 0.0039656
Iteration 307	 Training error: 0.0039456
Iteration 308	 Training error: 0.00392578
Iteration 309	 Training error: 0.00390615
Iteration 310	 Training error: 0.00388669
Iteration 311	 Training error: 0.00386741
Iteration 312	 Training error: 0.00384831
Iteration 313	 Training error: 0.00382937
Iteration 314	 Training error: 0.00381061
Iteration 315	 Training error: 0.00379201
