**********
SEED 1
**********
Iteration 1	 Training error: 0.285917
Iteration 2	 Training error: 0.266844
Iteration 3	 Training error: 0.253705
Iteration 4	 Training error: 0.25325
Iteration 5	 Training error: 0.256623
Iteration 6	 Training error: 0.256685
Iteration 7	 Training error: 0.25402
Iteration 8	 Training error: 0.251786
Iteration 9	 Training error: 0.251174
Iteration 10	 Training error: 0.251256
Iteration 11	 Training error: 0.251099
Iteration 12	 Training error: 0.250691
Iteration 13	 Training error: 0.250375
Iteration 14	 Training error: 0.250244
Iteration 15	 Training error: 0.250151
Iteration 16	 Training error: 0.249979
Iteration 17	 Training error: 0.249744
Iteration 18	 Training error: 0.249511
Iteration 19	 Training error: 0.249309
Iteration 20	 Training error: 0.24913
Iteration 21	 Training error: 0.248961
Iteration 22	 Training error: 0.248796
Iteration 23	 Training error: 0.248637
Iteration 24	 Training error: 0.248479
Iteration 25	 Training error: 0.248318
Iteration 26	 Training error: 0.248152
Iteration 27	 Training error: 0.247982
Iteration 28	 Training error: 0.247811
Iteration 29	 Training error: 0.24764
Iteration 30	 Training error: 0.24747
Iteration 31	 Training error: 0.2473
Iteration 32	 Training error: 0.247129
Iteration 33	 Training error: 0.246957
Iteration 34	 Training error: 0.246782
Iteration 35	 Training error: 0.246605
Iteration 36	 Training error: 0.246425
Iteration 37	 Training error: 0.246241
Iteration 38	 Training error: 0.246054
Iteration 39	 Training error: 0.245864
Iteration 40	 Training error: 0.245671
Iteration 41	 Training error: 0.245473
Iteration 42	 Training error: 0.245272
Iteration 43	 Training error: 0.245067
Iteration 44	 Training error: 0.244856
Iteration 45	 Training error: 0.244641
Iteration 46	 Training error: 0.24442
Iteration 47	 Training error: 0.244194
Iteration 48	 Training error: 0.243962
Iteration 49	 Training error: 0.243723
Iteration 50	 Training error: 0.243478
Iteration 51	 Training error: 0.243226
Iteration 52	 Training error: 0.242967
Iteration 53	 Training error: 0.2427
Iteration 54	 Training error: 0.242426
Iteration 55	 Training error: 0.242142
Iteration 56	 Training error: 0.241851
Iteration 57	 Training error: 0.24155
Iteration 58	 Training error: 0.241239
Iteration 59	 Training error: 0.240918
Iteration 60	 Training error: 0.240587
Iteration 61	 Training error: 0.240244
Iteration 62	 Training error: 0.239891
Iteration 63	 Training error: 0.239525
Iteration 64	 Training error: 0.239146
Iteration 65	 Training error: 0.238755
Iteration 66	 Training error: 0.238349
Iteration 67	 Training error: 0.23793
Iteration 68	 Training error: 0.237495
Iteration 69	 Training error: 0.237045
Iteration 70	 Training error: 0.236579
Iteration 71	 Training error: 0.236096
Iteration 72	 Training error: 0.235595
Iteration 73	 Training error: 0.235075
Iteration 74	 Training error: 0.234537
Iteration 75	 Training error: 0.233978
Iteration 76	 Training error: 0.233398
Iteration 77	 Training error: 0.232797
